"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"latency_perprobe","endpoint","gpt","t","HEAD","ERR","184","477","1","198",,,
"latency_perprobe","endpoint","gemini","v","GET","ERR","200","582","1","310",,,
"latency_perprobe","endpoint","gemini","t","GET","400","6","71","48","196",,,
"latency_perprobe","endpoint","mistral","t","HEAD","ERR","155","2175","83","15070",,,
"latency_perprobe","endpoint","claude","t","GET","429","70","41","35","88",,,
"latency_perprobe","endpoint","gpt","t","GET","401","501","124","103","280",,,
"latency_perprobe","endpoint","gemini","v","HEAD","308","4","45","34","68",,,
"latency_perprobe","endpoint","gemini","v","HEAD","400","26","144","141","263",,,
"latency_perprobe","endpoint","claude","t","GET","403","30","239","158","546",,,
"latency_perprobe","endpoint","gemini","v","HEAD","202","2","36","33","39",,,
"latency_perprobe","endpoint","mistral","t","HEAD","404","428","262","163","914",,,
"latency_perprobe","endpoint","claude","v","HEAD","503","15","65","70","93",,,
"latency_perprobe","endpoint","deepseek","v","GET","302","34","666","659","742",,,
"latency_perprobe","endpoint","mistral","t","GET","401","340","115","98","270",,,
"latency_perprobe","endpoint","claude","v","OPTIONS","ERR","1330","0","0","1",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","400","49","286","195","828",,,
"latency_perprobe","endpoint","gpt","v","HEAD","404","369","150","106","426",,,
"latency_perprobe","endpoint","gemini","t","GET","429","74","42","36","93",,,
"latency_perprobe","endpoint","gpt","v","HEAD","429","19","64","37","317",,,
"latency_perprobe","endpoint","mistral","t","HEAD","200","51","246","123","553",,,
"latency_perprobe","endpoint","deepseek","t","HEAD","403","81","251","209","670",,,
"latency_perprobe","endpoint","deepseek","v","GET","401","415","121","100","277",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","500","12","96","101","138",,,
"latency_perprobe","endpoint","mistral","t","HEAD","400","22","344","310","603",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","429","7","37","33","64",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","302","34","812","701","1172",,,
"latency_perprobe","endpoint","deepseek","c","GET","401","295","123","102","292",,,
"latency_perprobe","endpoint","claude","v","GET","400","24","135","44","193",,,
"latency_perprobe","endpoint","deepseek","v","GET","308","4","77","69","107",,,
"latency_perprobe","endpoint","deepseek","t","GET","503","1","182","182","182",,,
"latency_perprobe","endpoint","claude","v","HEAD","405","121","104","88","317",,,
"latency_perprobe","endpoint","gemini","c","HEAD","200","61","140","88","307",,,
